timelist,FL_hip,FL_thigh,FL_calf,RL_hip,RL_thigh,RL_calf,RR_hip,RR_thigh,RR_calf,FR_hip,FR_thigh,FR_calf
0.3572621035058431,0.0,0.8690395423445091,-2.2005009288778536,0.0,1.1972676010571799,-1.5083997825032218,0.0,0.8690395423445091,-2.2005009288778536,0.0,1.1972676010571799,-1.5083997825032218
0.3606010016694491,0.0,0.8357964946165305,-2.1861734826628405,0.0,1.2011640453733863,-1.486503846529586,0.0,0.8357964946165305,-2.1861734826628405,0.0,1.2011640453733863,-1.486503846529586
0.3639398998330551,0.0,0.8027833089739701,-2.1705583329378983,0.0,1.2045277224297435,-1.4642871797963983,0.0,0.8027833089739701,-2.1705583329378983,0.0,1.2045277224297435,-1.4642871797963983
0.36727879799666113,0.0,0.7701465042275862,-2.1537952942275735,0.0,1.2074295204920875,-1.4418958754875362,0.0,0.7701465042275862,-2.1537952942275735,0.0,1.2074295204920875,-1.4418958754875362
0.37061769616026713,0.0,0.7380324204516678,-2.1360288862338157,0.0,1.2099414412495615,-1.4194798390511212,0.0,0.7380324204516678,-2.1360288862338157,0.0,1.2099414412495615,-1.4194798390511212
0.3739565943238731,0.0,0.7065863422257974,-2.117407281429414,0.0,1.212135939766078,-1.3971917569206673,0.0,0.7065863422257974,-2.117407281429414,0.0,1.212135939766078,-1.3971917569206673
0.3772954924874791,0.0,0.6759516247349667,-2.0980812330430325,0.0,1.2140852651982679,-1.37518604139265,0.0,0.6759516247349667,-2.0980812330430325,0.0,1.2140852651982679,-1.37518604139265
0.3806343906510852,0.0,0.6462688285621502,-2.078202990954963,0.0,1.2158608071292951,-1.3536177589785248,0.0,0.6462688285621502,-2.078202990954963,0.0,1.2158608071292951,-1.3536177589785248
0.38397328881469117,0.0,0.6176748689552681,-2.0579252130965564,0.0,1.2175324523216746,-1.3326415496718975,0.0,0.6176748689552681,-2.0579252130965564,0.0,1.2175324523216746,-1.3326415496718975
0.38731218697829717,0.0,0.590302185258509,-2.0373998799672663,0.0,1.2191679566121287,-1.3124105446424987,0.0,0.590302185258509,-2.0373998799672663,0.0,1.2191679566121287,-1.3124105446424987
0.39065108514190316,0.0,0.5642779360669163,-2.016777219851252,0.0,1.220832336558199,-1.2930752898874354,0.0,0.5642779360669163,-2.016777219851252,0.0,1.220832336558199,-1.2930752898874354
0.3939899833055092,0.0,0.539723225493811,-1.9962046522307835,0.0,1.22258728530058,-1.2747826833366667,0.0,0.539723225493811,-1.9962046522307835,0.0,1.22258728530058,-1.2747826833366667
0.3973288814691152,0.0,0.5167523657342121,-1.9758257567568405,0.0,1.2244906169279368,-1.2576749328240253,0.0,0.5167523657342121,-1.9758257567568405,0.0,1.2244906169279368,-1.2576749328240253
0.4006677796327212,0.0,0.4954721808653812,-1.9557792749493361,0.0,1.2265957434236383,-1.2418885421979948,0.0,0.4954721808653812,-1.9557792749493361,0.0,1.2265957434236383,-1.2418885421979948
0.4040066777963272,0.0,0.47598135654951185,-1.9361981515615487,0.0,1.2289511880377701,-1.2275533326587,0.0,0.47598135654951185,-1.9361981515615487,0.0,1.2289511880377701,-1.2275533326587
0.40734557595993326,0.0,0.4583698399954555,-1.9172086222573983,0.0,1.2316001386646827,-1.2147915061706032,0.0,0.4583698399954555,-1.9172086222573983,0.0,1.2316001386646827,-1.2147915061706032
0.41068447412353926,0.0,0.44271829419820746,-1.8989293539180612,0.0,1.2345800445179818,-1.2037167575156997,0.0,0.44271829419820746,-1.8989293539180612,0.0,1.2345800445179818,-1.2037167575156997
0.41402337228714525,0.0,0.4290976101090858,-1.8814706435184443,0.0,1.237922259083378,-1.1944334412216744,0.0,0.4290976101090858,-1.8814706435184443,0.0,1.237922259083378,-1.1944334412216744
0.41736227045075125,0.0,0.4175684799986237,-1.8649336810969093,0.0,1.2416517319972646,-1.1870357992256992,0.0,0.4175684799986237,-1.8649336810969093,0.0,1.2416517319972646,-1.1870357992256992
0.4207011686143573,0.0,0.40818103486082036,-1.8494098818861548,0.0,1.2457867521476902,-1.1816072547199599,0.0,0.40818103486082036,-1.8494098818861548,0.0,1.2457867521476902,-1.1816072547199599
0.4240400667779633,0.0,0.4009745482744694,-1.8349802921826333,0.0,1.2503387439269715,-1.1782197771724403,0.0,0.4009745482744694,-1.8349802921826333,0.0,1.2503387439269715,-1.1782197771724403
0.4273789649415693,0.0,0.39597720868773156,-1.82171507300963,0.0,1.2553121181841032,-1.1769333230290908,0.0,0.39597720868773156,-1.82171507300963,0.0,1.2553121181841032,-1.1769333230290908
0.4307178631051753,0.0,0.393205961629095,-1.809673065078872,0.0,1.2607041790330706,-1.177795356084669,0.0,0.393205961629095,-1.809673065078872,0.0,1.2607041790330706,-1.177795356084669
0.4340567612687813,0.0,0.39266642287451486,-1.7989014379810488,0.0,1.2665050872728676,-1.1808404509628057,0.0,0.39266642287451486,-1.7989014379810488,0.0,1.2665050872728676,-1.1808404509628057
0.43739565943238734,0.0,0.3943528631201614,-1.7894354259409768,0.0,1.272697880769285,-1.1860899825750593,0.0,0.3943528631201614,-1.7894354259409768,0.0,1.272697880769285,-1.1860899825750593
0.44073455759599334,0.0,0.3982482642260962,-1.781298151862422,0.0,1.2792585517402046,-1.1935519038377758,0.0,0.3982482642260962,-1.781298151862422,0.0,1.2792585517402046,-1.1935519038377758
0.44407345575959933,0.0,0.4043244466117289,-1.774500540765104,0.0,1.2861561804780623,-1.2032206133186096,0.0,0.4043244466117289,-1.774500540765104,0.0,1.2861561804780623,-1.2032206133186096
0.44741235392320533,0.0,0.41254226690237505,-1.7690413230864568,0.0,1.2933531246381758,-1.2150769138657536,0.0,0.41254226690237505,-1.7690413230864568,0.0,1.2933531246381758,-1.2150769138657536
0.4507512520868114,0.0,0.42285188445100913,-1.764907127687719,0.0,1.3008052628226392,-1.2290880626465737,0.0,0.42285188445100913,-1.764907127687719,0.0,1.3008052628226392,-1.2290880626465737
0.4540901502504174,0.0,0.43519309489362257,-1.7620726637722737,0.0,1.3084622907992154,-1.2452079123928026,0.0,0.43519309489362257,-1.7620726637722737,0.0,1.3084622907992154,-1.2452079123928026
0.4574290484140234,0.0,0.4494957284437003,-1.760500990298264,0.0,1.3162680683158778,-1.2633771430210339,0.0,0.4494957284437003,-1.760500990298264,0.0,1.3162680683158778,-1.2633771430210339
