x,y
1.295000000000000000e+03,3.530000000000000000e+02
1.296000000000000000e+03,3.540000000000000000e+02
1.292000000000000000e+03,3.820000000000000000e+02
1.292000000000000000e+03,3.820000000000000000e+02
1.283000000000000000e+03,4.190000000000000000e+02
1.282000000000000000e+03,4.200000000000000000e+02
1.263000000000000000e+03,4.610000000000000000e+02
1.263000000000000000e+03,4.620000000000000000e+02
1.238000000000000000e+03,5.010000000000000000e+02
1.237000000000000000e+03,5.000000000000000000e+02
1.210000000000000000e+03,5.320000000000000000e+02
1.209000000000000000e+03,5.320000000000000000e+02
1.178000000000000000e+03,5.600000000000000000e+02
1.177000000000000000e+03,5.600000000000000000e+02
1.177000000000000000e+03,5.620000000000000000e+02
1.141000000000000000e+03,5.850000000000000000e+02
1.112000000000000000e+03,6.000000000000000000e+02
1.112000000000000000e+03,6.010000000000000000e+02
1.089000000000000000e+03,6.120000000000000000e+02
1.089000000000000000e+03,6.120000000000000000e+02
1.077000000000000000e+03,6.190000000000000000e+02
1.076000000000000000e+03,6.190000000000000000e+02
1.071000000000000000e+03,6.260000000000000000e+02
1.071000000000000000e+03,6.270000000000000000e+02
1.070000000000000000e+03,6.350000000000000000e+02
1.070000000000000000e+03,6.350000000000000000e+02
1.079000000000000000e+03,6.430000000000000000e+02
1.079000000000000000e+03,6.430000000000000000e+02
1.106000000000000000e+03,6.420000000000000000e+02
1.106000000000000000e+03,6.410000000000000000e+02
1.147000000000000000e+03,6.290000000000000000e+02
1.147000000000000000e+03,6.280000000000000000e+02
1.191000000000000000e+03,6.070000000000000000e+02
1.193000000000000000e+03,6.070000000000000000e+02
1.230000000000000000e+03,5.830000000000000000e+02
1.230000000000000000e+03,5.830000000000000000e+02
1.260000000000000000e+03,5.620000000000000000e+02
1.259000000000000000e+03,5.620000000000000000e+02
1.275000000000000000e+03,5.500000000000000000e+02
1.274000000000000000e+03,5.500000000000000000e+02
1.290000000000000000e+03,5.350000000000000000e+02
1.289000000000000000e+03,5.350000000000000000e+02
1.305000000000000000e+03,5.120000000000000000e+02
1.306000000000000000e+03,5.120000000000000000e+02
1.319000000000000000e+03,4.920000000000000000e+02
1.319000000000000000e+03,4.920000000000000000e+02
1.326000000000000000e+03,4.830000000000000000e+02
