time,FL_thigh_pos,FL_calf_pos,FR_thigh_pos,FR_calf_pos,RL_thigh_pos,RL_calf_pos,RR_thigh_pos,RR_calf_pos,FL_thigh_vel,FL_calf_vel,FR_thigh_vel,FR_calf_vel,RL_thigh_vel,RL_calf_vel,RR_thigh_vel,RR_calf_vel
0.1,11.808390259689014,-29.169528411271614,7.163340844013586,-27.23180685835965,6.940123178948732,-26.69341167813498,11.769790873065729,-29.330767575393114,148.89348918587268,-443.0692514633488,148.56162975341883,-516.092963705184,185.6997679723297,-570.4724965503499,154.06351635808937,-460.1873543461863
0.2,29.178474842587512,-85.03848759849852,27.27069888773769,-71.14070517852383,19.48447418332175,-62.87671237856888,29.46039613464176,-86.19692748898099,168.0559394744254,-531.0466495835013,221.04371649054775,-466.11468717343035,192.29472422899096,-564.8703142796874,164.64352859199465,-553.6579404792849
0.29300000000000004,48.55741823264281,-142.42520216214692,45.69790290256386,-122.3054077695821,35.57916278037913,-116.60690176404832,51.861373772015675,-148.04866703967954,215.55261317328623,-586.7909659404842,121.06212353805748,-538.8251390618899,122.48912769008554,-559.3560092621983,139.26981515533154,-558.2144990419737
0.399,73.30006828532316,-212.31147962674302,63.71544130703485,-191.0376170955393,54.59900699605779,-184.34425864379224,74.81778139475823,-216.8549473937745,234.8684528746016,-632.63728764571,159.88654436713693,-575.4800509763776,187.6915093336785,-605.7496886832906,158.2995016021654,-518.1184056941728
0.49500000000000005,95.3558814191177,-272.1726281877909,85.70235136153647,-255.1353962076151,72.57031303540421,-246.0896605548584,93.60635469080114,-275.5247483238624,160.7661975196934,-526.7581619589556,186.34139461866278,-603.8017582403289,317.1397688155546,-798.963671963169,192.12164177713493,-663.284386194585
0.5990000000000001,116.81399926707665,-338.0114360016289,106.81302815973777,-318.7041915293477,92.89490484743929,-310.9933511193753,115.31981962485426,-342.8743532809278,211.59363049432073,-659.029733013373,160.13133649449318,-530.4461221536981,178.2953618471148,-572.4393998939526,135.20417628315437,-510.86206276668986
0.6990000000000001,136.90936723115684,-402.0361156522139,127.04857654692647,-382.32092810104274,113.04660546669949,-375.7943864768437,137.42914202052617,-405.99411408927654,292.6515314393926,-802.2565517615931,189.8851558561745,-614.2331279482592,215.21898291174435,-673.3846746775178,241.49626038871187,-528.3978675311841
0.799,157.61256980730496,-461.6748464204824,148.75940722509148,-448.2863288190135,133.55307095735333,-438.9453625088707,161.89961242596584,-467.52729673336523,159.151426073476,-509.2560171969402,156.7159398896519,-594.2308007638565,255.00112143901055,-739.4220515463292,268.38678697675584,-548.2498668836394
0.896,178.8201686915885,-521.5780266970346,170.1880413858382,-513.5218153521089,154.89217805164205,-502.9425613274436,183.45922198743494,-528.3564391000306,275.637382851381,-761.8301550545355,185.85031907323142,-594.3088777976878,303.16915448076395,-820.5523284593002,314.1648184896708,-840.7714281580935
0.9930000000000001,199.48538178112224,-582.220853795139,189.76407727459238,-576.6008966088609,173.88232449204176,-564.0723542935892,203.44902854406712,-591.276796189953,185.3160910612965,-620.6830550309624,148.7966471746254,-573.9553503425365,215.21976420328264,-625.0635038678565,280.6848878036802,-801.1709631071099
1.1,217.42642049792977,-649.4677584872221,212.53152542136723,-645.6360455963386,195.9596214382355,-632.5066347147944,226.6537694937828,-656.5376556011737,98.52735524499253,-514.4812264850077,244.43331506022142,-668.1998228785127,149.57290681581878,-553.8926505458315,179.72898485977726,-519.0697132353495
1.2,237.18398385852865,-712.4273392027361,233.4880755066495,-712.1926856340555,218.51272677932496,-697.8440865173449,247.79291642222577,-716.1597962663644,155.03464849212142,-538.1119141430033,235.9123326193203,-639.9309710194664,311.59348488741813,-865.195756446624,285.83908017077727,-741.8628275810878
1.3,260.9211037685251,-776.015582877045,252.3118864148632,-774.7172146360183,237.77210219671156,-762.3513065284856,269.5876163211223,-778.0682881321858,169.03722326876257,-490.9276150879055,196.67849312301195,-628.3615828918822,167.09129120866487,-592.962074642325,275.17036117409805,-668.3924819379457
1.399,282.68684893280744,-839.0586768715729,262.9014131554489,-811.1424429480518,250.58510310417012,-821.1540520972749,275.72638274052616,-795.6228924740353,142.8663437462708,-537.9143234651192,80.00356962451873,-237.24387441828068,25.9754014590651,-18.100000776723313,46.545333254273416,-356.5027670060987
1.5,305.4955056770558,-902.551314403321,272.2715170528769,-852.9112758347519,256.81981939041424,-836.2353923988139,288.42115613484253,-827.8778167676367,113.61481143119059,-485.52825583343736,84.9574230645456,-541.8904942847347,233.00006171557476,-565.4756848757556,194.1411750876752,-534.0136304964242
1.6,323.3203100924322,-966.9345501823698,286.6340630428608,-920.2341575037524,277.69245083502653,-892.2463944867693,307.7859342039601,-888.5229089332715,213.9938544409092,-670.4829463089375,71.18836963351768,-578.3999142878324,260.43445264467755,-815.4313609664107,199.73661731955008,-562.8737472723112
1.699,344.9800687230283,-1034.0003670078524,305.0712114550821,-983.7831585946533,290.5487203708288,-952.7539366243841,328.53230744836594,-951.1598946131013,168.4754288958574,-585.6614786248376,142.68922755435761,-514.1431698312265,67.16160768467083,-550.8820868869714,165.7268710031896,-551.7257702964072
1.8,364.2222289345466,-1099.9550786195584,324.73373022687724,-1046.5727853273675,311.15402103434303,-1016.9198278470319,347.3024540214548,-1015.564988898211,301.71786990357623,-828.4175229599952,101.67216765890815,-515.3033414811572,198.68457703968494,-636.7127113428103,188.55234909577612,-608.2481603090071
1.899,384.17258785627297,-1163.4450428836983,345.8147445231234,-1109.5913088772757,330.9732461409988,-1083.3400859626213,366.711737726566,-1078.7724568984208,272.22702263421775,-814.6136522126876,136.85995190964292,-560.2062669468355,171.34282018197715,-542.4159895477219,180.2054090371596,-553.8206933586514
1.999,404.2029375818968,-1227.8226460421993,366.69647517642716,-1176.1427080716799,350.2970888906402,-1145.3145425463656,388.84388793441684,-1139.906247556333,204.3623114640618,-562.9995466942269,267.8790323598541,-771.0972775303557,236.15292990159375,-617.2322274982828,108.61227984713373,-510.39232541593174
2.099,425.9163604690649,-1292.6143342784758,385.7900571672421,-1240.0169410515318,370.43402649400144,-1209.477053624149,409.6326935361662,-1203.7803136139173,210.37676504156332,-584.9085978403185,157.96958240334837,-561.1454625307055,86.53367268834467,-518.984628640699,204.6006354282729,-564.9525434087024
2.195,447.06430969017606,-1352.9266042924894,402.2812036242728,-1300.321207761,387.1325069967146,-1268.5838222845885,431.0234079028497,-1264.527002843423,205.06923841882778,-560.9462725974099,230.24131831535595,-733.671383129707,236.4203222981529,-706.2046345998103,244.16281872958916,-675.5611373554451
2.3,469.12919891096954,-1416.6902620974502,419.38690770544446,-1366.5998422858675,408.9004573010965,-1336.123522171159,454.3760556990057,-1329.8911369870443,122.04612147164625,-464.0875527052338,43.48524060024362,-476.6255845053097,148.6759842959075,-578.2176749136785,199.6662039016424,-563.7671118499001
2.398,487.3370275597739,-1475.3666303188477,435.2109806373911,-1433.6710301231117,424.5057842151034,-1400.5029813021629,471.9678198779457,-1389.6656584242976,169.74465119141826,-650.0391773127345,251.5440844726151,-822.5203802775545,242.22898245447402,-744.0697723095215,215.04105867635704,-696.091263100536
