timelist,FL_thigh,FL_calf,RL_thigh,RL_calf,RR_thigh,RR_calf,FR_thigh,FR_calf
0.0,1.0580749162888827,-1.8223989166898165,1.41838256965558,-1.9874870796240458,1.0580749162888827,-1.8223989166898165,1.41838256965558,-1.9874870796240458
0.013422818791946308,1.1071487177940904,-1.7933474919226184,1.3648955042390207,-2.0631784682283723,1.1071487177940904,-1.7933474919226184,1.3648955042390207,-2.0631784682283723
0.026845637583892617,1.1651134014343651,-1.7503304968659248,1.2899586021736937,-2.1343691300975527,1.1651134014343651,-1.7503304968659248,1.2899586021736937,-2.1343691300975527
0.040268456375838924,1.2261490111768705,-1.7047208851677615,1.1703382075484103,-2.1732465687868525,1.2261490111768705,-1.7047208851677615,1.1703382075484103,-2.1732465687868525
0.053691275167785234,1.272738020868679,-1.6550837582610884,1.0303768265243125,-2.129395642138459,1.272738020868679,-1.6550837582610884,1.0303768265243125,-2.129395642138459
0.06711409395973154,1.2974410032714612,-1.5573811434599891,0.8874390348590888,-2.062974096243683,1.2974410032714612,-1.5573811434599891,0.8874390348590888,-2.062974096243683
0.08053691275167785,1.3142323746315778,-1.4648080927278009,0.7573277845913148,-2.0112044372835456,1.3142323746315778,-1.4648080927278009,0.7573277845913148,-2.0112044372835456
0.09395973154362416,1.321491807450376,-1.3653825210220212,0.6272472723854937,-1.958955884107823,1.321491807450376,-1.3653825210220212,0.6272472723854937,-1.958955884107823
0.10738255033557047,1.3157388112983042,-1.2485002565614578,0.6122048886252366,-1.983445831714846,1.3157388112983042,-1.2485002565614578,0.6122048886252366,-1.983445831714846
0.12080536912751677,1.307911268287479,-1.1184311104063316,0.3977941136757593,-1.8541853663166996,1.307911268287479,-1.1184311104063316,0.3977941136757593,-1.8541853663166996
0.1342281879194631,1.3066029468921303,-1.0071180654159164,0.32740021180022655,-1.7446167615267512,1.3066029468921303,-1.0071180654159164,0.32740021180022655,-1.7446167615267512
0.1476510067114094,1.309437362466357,-0.9770489114941733,0.28805544705062586,-1.6418275633305963,1.309437362466357,-0.9770489114941733,0.28805544705062586,-1.6418275633305963
0.1610738255033557,1.3222665422315671,-1.0177556590294548,0.267799237189197,-1.5378744138336604,1.3222665422315671,-1.0177556590294548,0.267799237189197,-1.5378744138336604
0.174496644295302,1.3477068224091224,-1.1312918171210182,0.2754872919722853,-1.4702489837878456,1.3477068224091224,-1.1312918171210182,0.2754872919722853,-1.4702489837878456
0.18791946308724833,1.3842019386982556,-1.257301340825316,0.29483041114213693,-1.4530396803047465,1.3842019386982556,-1.257301340825316,0.29483041114213693,-1.4530396803047465
0.20134228187919462,1.4170485805637065,-1.4000434171915768,0.37012990628885734,-1.503734845381996,1.4170485805637065,-1.4000434171915768,0.37012990628885734,-1.503734845381996
0.21476510067114093,1.4382447944982226,-1.5500218360327014,0.4988810639722274,-1.600489672242544,1.4382447944982226,-1.5500218360327014,0.4988810639722274,-1.600489672242544
