time,FL_hip_pos,FL_thigh_pos,FL_calf_pos,FR_hip_pos,FR_thigh_pos,FR_calf_pos,RL_hip_pos,RL_thigh_pos,RL_calf_pos,RR_hip_pos,RR_thigh_pos,RR_calf_pos,FL_hip_vel,FL_thigh_vel,FL_calf_vel,FR_hip_vel,FR_thigh_vel,FR_calf_vel,RL_hip_vel,RL_thigh_vel,RL_calf_vel,RR_hip_vel,RR_thigh_vel,RR_calf_vel,FL_hip_tor,FL_thigh_tor,FL_calf_tor,FR_hip_tor,FR_thigh_tor,FR_calf_tor,RL_hip_tor,RL_thigh_tor,RL_calf_tor,RR_hip_tor,RR_thigh_tor,RR_calf_tor,distance
0.0,-0.029325923706889922,1.2577778454400181,-1.184160081465992,-0.048685878294614376,0.32238398332703355,-1.650718368611984,-0.04294079429695961,0.3213037438770397,-1.6501982708121024,-0.03293411260115153,1.2712163779296453,-1.1830949822874264,0.1238352159688858,1.1716898031288556,0.4272310733746783,0.027929117738820914,-3.276392479341889,4.950854267392544,0.04779926771774505,-3.3316120094806796,4.8668551178217685,0.399664275570368,2.770856817080931,0.9852976041640481,0.02974279193287349,-0.2596939715535096,-0.894635325655635,0.43100054746850053,5.243748414058572,0.4942303083669728,0.32976803947600025,5.5685651427252605,0.5686425012673801,-0.42218505891715497,-7.7123175913994535,-3.2974567215800388,0.00174425392062183
0.005000000000000782,-0.028842722960344874,1.2643998574407045,-1.184754841116514,-0.04851170163966669,0.30923268141566096,-1.6276801737536994,-0.042701712047963476,0.30806375662813096,-1.6275137174381265,-0.030697191621753772,1.2830518842018497,-1.1818981245073445,0.07848674690299318,1.4332217603662667,-0.48612870364814553,0.038320891840775265,-2.1873593111592897,4.376806276965247,0.050655517991956604,-2.181896068337207,4.314335833550947,0.47070982657769245,2.1270073286474225,-0.24566566562355907,0.11433775797425849,-0.11406275627723339,-0.9298067792411935,0.40847523271511443,5.4732881189469555,0.5459187463487609,0.33057711186008837,5.770230806170271,0.6984349509829855,-0.6114186250725289,-6.755857404925902,-2.877786511675018,0.010503857197402766
0.009999999999999787,-0.028571790829280214,1.2724340609936033,-1.189977186760398,-0.04830645247448029,0.3017086695844767,-1.6075691526848994,-0.042390937304953545,0.3006773333800846,-1.6074441938950712,-0.028286462479319697,1.2923503471310025,-1.186596205496971,0.03964789922799723,1.724817135163159,-1.4192180448181222,0.04228617628426005,-1.0467438534601232,3.7826431079240197,0.06841421254394589,-0.9884164948226687,3.718934726754533,0.48358163217671724,1.7142881386989373,-1.389843144916063,0.2064221098368063,-0.26000719617286183,-1.0331710700162482,0.39849217217628186,5.307402239144096,0.49668174224801653,0.29650115201389404,5.509029386198002,0.6694724592573582,-0.6842986395602381,-5.480312086611705,-2.4075280651928432,0.019332324042853344
0.015000000000000568,-0.028446108147043393,1.281895714356813,-1.1999059608130045,-0.04808938898577528,0.2998420978538668,-1.5905056391471897,-0.04197544211312741,0.29917048881601543,-1.5906322283853618,-0.025949059055371,1.3002408876323956,-1.1967853482529192,0.017885421747080226,1.9997188543771556,-2.3642908790198924,0.0439015602719373,0.06939321019445624,3.1625392369490974,0.09311747794367514,0.14768044456986695,3.1218708860153037,0.4521854392720661,1.5142092235604667,-2.4608384070604212,0.24869023797627304,-0.5599213262920673,-1.1420139515911245,0.39309076931387493,4.906103788890864,0.3846445969074903,0.2335194652439253,4.878287962415157,0.5987068052192299,-0.6448802879904247,-3.9324405681459007,-1.896311999479039,0.028231872904656896
0.019999999999999574,-0.02837662233737787,1.2926085939190222,-1.2145600587537537,-0.04787084959026268,0.30338496148811994,-1.5766123520383697,-0.04143403551297733,0.3031603086193572,-1.5767755473968468,-0.02384865533237223,1.307695486789781,-1.2121372233904713,0.012693615677400476,2.2317270219258587,-3.306051425452959,0.04269195897816714,1.1278098590978123,2.5210483966892854,0.11890482111646761,1.2396525857938059,2.5549143156239524,0.39732799600019153,1.5008381386286762,-3.469671619311399,0.25837899201898057,-0.9463622577947088,-1.2429922292422777,0.3933245779462964,4.380027780051004,0.2389727458251052,0.1872554243356434,5.0367102184009775,0.6444327786310318,-0.5750745782951179,-3.0660327234330875,-1.6081435101029555,0.03719886197402644
0.025000000000000355,-0.028274459766650377,1.3042846424788828,-1.233930005437107,-0.04765308125539776,0.31193490857866335,-1.5659976193011258,-0.040792657201305454,0.31221702847997074,-1.5659842031817268,-0.022056236688979977,1.3154077928204377,-1.2323264378177397,0.027463556282205922,2.3946205974606642,-4.247180652912884,0.0440227839097949,2.08678038762395,1.8574267437468626,0.13298908992726846,2.18546927722424,1.8659941107163995,0.3323988988053271,1.5844313912606394,-4.41185712258472,0.23640849894278204,-1.2570403192592723,-1.3244243778654194,0.3896270460934987,3.979676939995514,0.14617862883532506,0.14925239483603836,3.664319652999806,0.33059944926590035,-0.46723751723412726,-2.2261708470981967,-1.3532697064457153,0.0462274242225682
0.02999999999999936,-0.02806294549026001,1.3165558904911279,-1.257909034678704,-0.047429974630226725,0.3250159322266425,-1.5587080824533543,-0.04010347812977454,0.3257343244105399,-1.5587984811358209,-0.020582710016850803,1.3237643377045276,-1.2570911162053486,0.05330091109846891,2.4839235497228254,-5.15749974440899,0.04500765221038756,2.9572010381584954,1.1918972616732921,0.14080643166104287,3.030943379837988,1.1735480963428284,0.27056229102160806,1.732950512203172,-5.305708350056324,0.1740276327056598,-1.6597209934309793,-1.3940228504440775,0.38428444188148814,3.466255328219523,0.02540933023348302,0.12332183396845608,3.1799662827864115,0.14083330555071338,-0.35595202341774174,-1.6619629645991396,-1.1869870107875684,0.055309443201611685
0.03500000000000014,-0.027717962392012577,1.3291128739227918,-1.2862863058916387,-0.04721476520281922,0.34230466623974,-1.5547184728979517,-0.039380533734242204,0.3435344684661314,-1.555180997284574,-0.019680287155280772,1.3362056966149602,-1.280942690018585,0.07526880282869894,2.5471783161478525,-5.993025279257518,0.03777868487496998,3.8289445984123796,0.5349735054825648,0.1551915915301223,3.9835984020844837,0.3527551613923702,-0.07969214730733282,5.154847695254835,-0.9323190052754828,0.12664201826272736,-2.039071111302415,-1.410062625335165,0.39659028227824933,2.903935938073463,-0.035081833543837426,0.10872126522320064,3.983260405379939,-0.18029507863532857,-0.26558158605305593,-1.3948009023942998,-1.1093575255446737,0.06444399655766553
0.03999999999999915,-0.026945403326628942,1.3411114808683564,-1.3186190434727685,-0.04679634549755929,0.3622911790925128,-1.5537746515011175,-0.03878119664477316,0.3640817215363818,-1.5540143957514374,-0.02011213804434214,1.3620456093765672,-1.3109336220841021,0.189311635993299,2.3133603267286325,-6.981435915608642,0.12142538333306738,4.021863448213114,-0.03426151698303645,0.06628720441630392,4.137691756048465,0.029664796418729017,0.08410389311816362,4.292749805417691,-6.71778747329665,-0.0845752666814758,-1.6908587845576024,-1.4936767744268664,0.2571743919400152,2.478809372069664,0.1078394205609956,0.20281897111763209,3.203161095059137,-0.5778783146714539,0.19889941908064615,-12.408158367322898,-4.955092956474626,0.07359499443827389
0.04499999999999993,-0.02585277544045887,1.352042459532153,-1.3557800012448384,-0.04608744573650656,0.3836496351037961,-1.5563350955447572,-0.03871936766344472,0.3861632614062525,-1.556245838761204,-0.019580296747456698,1.3812469044534461,-1.3450737859990463,0.22867476650778187,2.127252011815991,-7.714566623544444,0.15086174175055259,4.478565532492561,-0.791839014270029,-0.00955217901652573,4.645474373003873,-0.730526192291694,-0.053167817472160046,4.312427343362173,-7.111213798979771,-0.19882177861097627,-1.276036681811088,-0.8296500192807699,0.1591509738639616,5.2595736289525465,0.3321251085417476,0.3903947950150732,4.069573601966734,0.08798695902650921,0.3021386024188854,-14.040086240999505,-6.688560241284858,0.08274714651257575
